Disease Term,Id,Description
"Histiocytoma, Benign Fibrous",0,"A benign fibrous histiocytoma is a noncancerous tumor derived from fibrous tissue of the dermis layer of the skin, typically appearing as a small, firm, solitary nodule."
"Arthropathy, Neurogenic",1,This is a disease characterized by degenerative changes in joints caused by damage to or disease of the nervous system.
"Hemangioendothelioma, Epithelioid",2,"Epithelioid hemangioendothelioma is a rare vascular cancer that predominantly impacts the soft tissues, liver and lungs, showing characteristics akin to both benign hemangiomas and highly malignant angiosarcomas."
Alzheimer Disease,3,"Alzheimer's disease is a progressive neurological disorder that results in memory loss, intellectual impairment, and changes in behavior and personality, often leading to severe dementia."
Classical Lissencephalies and Subcortical Band Heterotopias,4,"These are genetic disorders characterized by abnormalities in the cerebral cortex's development, leading to impaired cognitive functions and muscle control."
Liposarcoma,5,Liposarcoma is a rare type of cancer that originates in the fat cells and tends to occur in the deep soft tissues of the limbs or in the abdomen.
Mitral Valve Prolapse,6,"This is a heart condition where the two valve flaps of the mitral valve don't close smoothly or evenly, causing them to balloon (prolapse) into the left atrium each time the heart contracts."
Gallbladder Neoplasms,7,"Gallbladder Neoplasms are abnormal, potentially cancerous growths that develop in the gallbladder, a small organ below the liver that stores bile."
Port-Wine Stain,8,"A Port-Wine Stain is a type of birthmark that appears as a red or purple discoloration on the skin, typically on the face, due to abnormal development of blood vessels."
Pituitary Neoplasms,9,"These are abnormal growths that develop in the pituitary gland, which can disrupt hormonal balance and function, and are usually benign but can be malignant."
"Vitreoretinopathy, Proliferative",10,"Proliferative vitreoretinopathy is an eye disorder characterized by the growth of scar tissue on the retina, leading to vision loss and potentially retinal detachment."
Duodenal Diseases,11,"Duodenal diseases are conditions that affect the duodenum, the first part of the small intestine, and can include ulcers, tumors, and infections among other issues."
Refractive Errors,12,"Refractive errors are vision problems that occur when the shape of the eye doesn't refract light properly, causing blurred images on the retina which lead to conditions like myopia (nearsightedness), hyperopia (farsightedness), astigmatism (distorted vision), and presbyopia (aging eye condition)."
Myoclonus,13,"Myoclonus refers to a condition characterized by sudden, involuntary jerking of a muscle or group of muscles."
Bipolar Disorder,14,Bipolar Disorder is a mental health condition characterized by severe mood swings that include emotional highs (mania or hypomania) and lows (depression).
Charcot-Marie-Tooth Disease,15,"This is a group of inherited disorders that cause nerve damage, primarily in the arms and legs, leading to muscle weakness and loss of sensation."
Gastrointestinal Hemorrhage,16,This is a condition characterized by bleeding in any segment of the gastrointestinal tract from mouth to anus.
"Respiratory Distress Syndrome, Adult",17,"Adult Respiratory Distress Syndrome is a severe lung condition often caused by acute injury to the lungs, characterized by rapid breathing, shortness of breath, and insufficient oxygen in the blood."
Ocular Motility Disorders,18,"These are conditions that affect the coordination and control of eye movements, potentially causing problems like double vision or strabismus (misaligned eyes)."
Facial Asymmetry,19,Facial Asymmetry is a condition characterised by uneven or unbalanced proportions of the face due to differences in size and shape of facial features on opposite sides.
Gerstmann-Straussler-Scheinker Disease,20,"Gerstmann-Straussler-Scheinker Disease is a rare, inherited neurodegenerative disorder characterized by progressive ataxia, spasticity, and dementia."
Coloboma,21,"Coloboma is a congenital eye condition characterized by the incomplete development of certain eye structures, leading to missing pieces or gaps in the eye."
Muscle Hypotonia,22,"Muscle Hypotonia is a condition characterized by decreased muscle tone, often resulting in reduced muscle strength, and difficulty in movement or posture maintenance."
Esophageal Neoplasms,23,Esophageal Neoplasms are tumors or growths in the esophagus that can be benign (noncancerous) or malignant (cancerous).
"Leukemia, Myeloid, Acute",24,This is a rapidly progressing cancer of the blood and bone marrow characterized by the overproduction of immature white blood cells.
Adrenocortical Hyperfunction,25,"Adrenocortical Hyperfunction is a condition where the adrenal glands produce excess amounts of cortisol, leading to symptoms such as weight gain, high blood pressure, and osteoporosis."
Paraganglioma,26,"Paraganglioma is a rare neuroendocrine neoplasm that originates from chromaffin cells associated with the autonomic nervous system and is characterized by the development of tumors in head, neck, and chest."
"Lung Diseases, Obstructive",27,Obstructive lung diseases are a category of respiratory conditions characterized by difficulty exhaling all the air in the lungs due to damage to the lungs or narrowing of the airways.
Respiratory Tract Infections,28,"These are illnesses caused by an acute infection which involves different parts of the body's airway tract like the sinuses, throat, pharynx, larynx, bronchi, or lungs."
Disorders of Sex Development,29,"These are a group of conditions where the reproductive organs and genitals do not develop as expected, leading to variations in the usual patterns of sexual development."
"Ectodermal Dysplasia 1, Anhidrotic",30,"Anhidrotic Ectodermal Dysplasia 1 is a rare genetic disorder characterized by abnormalities in the development of the skin, hair, teeth, and sweat glands."
Myocardial Stunning,31,"Myocardial Stunning refers to a temporary state of diminished function of the heart muscle following stress, such as from lack of blood supply or oxygen."
"Dyskinesia, Drug-Induced",32,"This condition is characterized by involuntary, erratic body movements side-effect resulting from long-term usage of certain medications, specifically drugs used to treat psychiatric disorders and Parkinson's disease."
Macular Degeneration,33,A chronic eye disorder that results in vision loss in the center field of vision caused by damage to the retina.
Marfan Syndrome,34,"Marfan Syndrome is a genetic disorder that affects the body's connective tissue, leading to problems with the heart, blood vessels, bones, joints, and eyes."
Muscular Diseases,35,Muscular diseases encompass a variety of disorders that cause progressive weakness and loss of muscle mass due to dysfunctional proteins or affected cells relating to muscle health.
Common Variable Immunodeficiency,36,"It is a disorder characterized by low levels of serum immunoglobulins (antibodies) in the blood, leading to increased vulnerability to infections."
Hepatomegaly,37,"Hepatomegaly is a condition characterized by an enlarged liver, often indicative of underlying disorders such as hepatitis, congestive heart failure, or cirrhosis."
Fecal Incontinence,38,"This is a condition characterized by the inability to control bowel movements, leading to an involuntary passage of stool."
Diabetic Nephropathies,39,This is a progressive kidney disease caused by damage to the small blood vessels in the kidneys related to long-term diabetes.
Smith-Lemli-Opitz Syndrome,40,"A rare, inherited disorder characterized by distinctive facial features, small head size, intellectual disability, and multiple malformations."
